pressure,altitude,temperature,humidity
1000.0,12.0,29.0,51.5
1009.0,46.0,26.8,54.3
1007.0,46.0,28.0,39.6
999.0,46.0,24.0,97.0
1008.0,46.0,16.8,93.8
995.0,46.0,28.0,85.8
996.0,46.0,26.6,93.1
997.0,46.0,24.6,96.5
991.0,46.0,25.2,86.6
1011.0,46.0,20.8,88.9
1010.0,46.0,21.0,90.6
1012.0,46.0,18.2,74.5
1005.0,46.0,23.8,80.3
1002.0,46.0,26.4,90.4
1004.0,46.0,25.8,94.8
1011.0,46.0,27.0,44.8
1005.0,46.0,25.2,80.5
1002.0,46.0,27.4,81.2
1004.0,46.0,23.2,95.3
1007.0,46.0,23.8,92.4
1005.0,46.0,19.0,92.8
1009.0,46.0,20.0,90.5
1007.0,46.0,22.4,79.1
1005.0,46.0,30.8,45.9
997.0,46.0,26.8,93.2
1006.0,46.0,21.4,95.2
996.0,46.0,29.0,86.4
1005.0,46.0,25.2,92.5
998.0,46.0,24.2,95.3
1007.0,46.0,22.4,82.6
997.0,46.0,26.2,84.1
1000.0,46.0,25.2,90.3
998.0,46.0,24.4,99.4
993.0,46.0,30.2,75.1
1001.0,46.0,31.0,58.8
997.0,46.0,26.0,87.2
1008.0,46.0,15.0,85.0
1008.0,46.0,16.4,85.2
1005.0,46.0,21.4,95.8
1009.0,46.0,19.4,90.5
1007.0,46.0,28.0,48.1
1004.0,46.0,26.0,93.7
996.0,46.0,30.0,70.3
1007.0,46.0,19.0,86.5
1007.0,46.0,26.0,44.5
1009.0,46.0,25.6,50.6
1000.0,46.0,28.4,84.8
1007.0,46.0,25.2,38.8
997.0,46.0,29.0,80.5
996.0,46.0,26.2,97.1
998.0,46.0,26.6,94.8
1000.0,46.0,24.8,89.7
995.0,46.0,26.8,97.1
996.0,46.0,26.0,95.9
997.0,46.0,25.0,93.6
994.0,46.0,26.2,93.7
1002.0,46.0,19.8,92.2
1000.0,46.0,30.4,55.2
991.0,46.0,26.4,94.8
996.0,46.0,26.0,94.8
998.0,46.0,27.6,90.5
1001.0,46.0,26.0,85.1
1000.0,46.0,25.8,95.9
998.0,46.0,25.8,96.5
999.0,46.0,26.4,95.9
999.0,46.0,26.4,85.1
995.0,46.0,23.2,98.8
996.0,46.0,29.4,80.1
1011.0,46.0,25.0,44.3
1007.0,46.0,19.2,96.3
1008.0,46.0,15.4,82.8
992.0,46.0,26.4,87.7
991.0,46.0,26.8,93.7
1009.0,46.0,15.0,85.0
1004.0,46.0,25.2,98.2
991.0,46.0,29.0,78.6
993.0,46.0,26.6,92.0
998.0,46.0,25.0,100.0
994.0,46.0,31.4,74.9
996.0,46.0,25.4,90.9
1009.0,46.0,14.8,91.3
1002.0,46.0,26.0,94.8
1006.0,46.0,29.4,48.5
1001.0,46.0,29.0,74.9
1007.0,46.0,25.6,50.6
1007.0,46.0,20.0,99.4
1005.0,46.0,22.0,94.6
1006.0,46.0,28.0,54.6
1003.0,46.0,30.0,62.3
1007.0,46.0,23.8,93.6
1005.0,46.0,23.6,96.4
993.0,46.0,26.8,86.2
993.0,46.0,27.4,81.2
993.0,46.0,27.8,86.3
993.0,46.0,28.2,83.3
1007.0,46.0,26.2,50.8
1008.0,46.0,25.6,27.7
1007.0,46.0,23.8,41.1
